"G" "D" "r" "C" "L" "s" "b" "width_H" "center_H" "ss_H" "sss"
"327" 400 32 1.53 20 10000 0.75 0.083 0.976906602515136 4.63332507476189 4.19134974344081 5.58846632458775
"328" 500 32 1.53 20 10000 0.75 0.083 0.65584073764649 5.0622005125526 9.29957737987542 12.3994365065006
"329" 600 32 1.53 20 10000 0.75 0.083 1.1838094521291 5.58254772939081 2.85427875365552 3.80570500487403
"330" 700 32 1.53 20 10000 0.75 0.083 1.26843795765385 7.9705521220221 2.48611682069718 3.31482242759624
"331" 800 32 1.53 20 10000 0.75 0.083 1.36190148899477 8.89812146783864 2.15659503945128 2.8754600526017
"332" 900 32 1.53 20 10000 0.75 0.083 1.18199300718731 10.9596837262972 2.86305820320995 3.81741093761327
"333" 1000 32 1.53 20 10000 0.75 0.083 1.30900956910249 9.58966052312564 2.33439502319051 3.11252669758735
"334" 100 32 1.53 20 10000 0.8 0.083 1.0080472003174 4.49175548429823 3.93639123186775 4.92048903983468
"335" 200 32 1.53 20 10000 0.8 0.083 1.3975383899218 4.33545744549835 2.04801200489696 2.5600150061212
"336" 300 32 1.53 20 10000 0.8 0.083 1.60076585511171 4.45591258223199 1.56100526252586 1.95125657815732
"337" 400 32 1.53 20 10000 0.8 0.083 1.19605309170468 4.12208776070098 2.79614104930734 3.49517631163418
"338" 500 32 1.53 20 10000 0.8 0.083 1.15495795537074 5.02306000096673 2.99866286922177 3.74832858652722
"339" 600 32 1.53 20 10000 0.8 0.083 0.909548064532195 3.0872262934478 4.83513587820719 6.04391984775899
"340" 700 32 1.53 20 10000 0.8 0.083 1.49205653025737 5.5945167947653 1.79675737351955 2.24594671689943
"341" 800 32 1.53 20 10000 0.8 0.083 1.21164303384391 5.99557683242278 2.72464930835409 3.40581163544261
"342" 900 32 1.53 20 10000 0.8 0.083 1.08095230172629 5.2628062531705 3.42331552829907 4.27914441037384
"343" 1000 32 1.53 20 10000 0.8 0.083 0.97650528070135 6.31930193724897 4.19479555323443 5.24349444154304
"344" 100 32 1.53 20 10000 0.85 0.083 0.966291252833936 4.55397759869549 4.28394508385129 5.03993539276622
"345" 200 32 1.53 20 10000 0.85 0.083 1.0115447147363 4.50544258085111 3.90921737883256 4.59907926921477
"346" 300 32 1.53 20 10000 0.85 0.083 1.09550059076836 4.24292270668326 3.33299574426606 3.92117146384243
"347" 400 32 1.53 20 10000 0.85 0.083 1.33532447468327 5.52733044602742 2.24329492128386 2.63917049562807
"348" 500 32 1.53 20 10000 0.85 0.083 1.26083383870106 4.42210844596873 2.51619490852433 2.96022930414627
"349" 600 32 1.53 20 10000 0.85 0.083 1.01216166900767 5.52460339978279 3.90445317290558 4.59347432106539
"350" 700 32 1.53 20 10000 0.85 0.083 1.20032728004921 3.84633437120621 2.77626321200189 3.26619201411987
"351" 800 32 1.53 20 10000 0.85 0.083 1.35026161934357 4.13609588427085 2.1939369622482 2.5811023085273
"352" 900 32 1.53 20 10000 0.85 0.083 1.27182609871985 4.24200718811238 2.47288844826362 2.90928052736897
"353" 1000 32 1.53 20 10000 0.85 0.083 0.719183613890372 3.8099261838867 7.73357717603054 9.0983260894477
"354" 100 32 1.53 20 10000 0.9 0.083 1.37218110630186 3.24614637602809 2.12440405126404 2.36044894584893
"355" 200 32 1.53 20 10000 0.9 0.083 1.02392759026573 3.78850248436873 3.81523681741522 4.23915201935025
"356" 300 32 1.53 20 10000 0.9 0.083 1.02010667179127 3.7825351835476 3.84387109739113 4.27096788599015
"357" 400 32 1.53 20 10000 0.9 0.083 0.907080441036707 3.81942627201204 4.86147868820729 5.40164298689699
"358" 500 32 1.53 20 10000 0.9 0.083 1.07523255388337 3.56208778054894 3.45983336105329 3.84425929005921
"359" 600 32 1.53 20 10000 0.9 0.083 1.22104671856557 4.41187709851041 2.68284405729361 2.98093784143735
"360" 700 32 1.53 20 10000 0.9 0.083 1.14846765847647 5.67005197043566 3.03265112346297 3.3696123594033
"361" 800 32 1.53 20 10000 0.9 0.083 1.10898520477262 4.48103816044449 3.25243395951068 3.61381551056743
"362" 900 32 1.53 20 10000 0.9 0.083 1.14918523430873 5.21711823559249 3.02886500148821 3.36540555720912
"363" 1000 32 1.53 20 10000 0.9 0.083 1.27810278967579 5.18598479257905 2.44865965549756 2.72073295055284
"22" 200 16 1.53 20 10000 0.5 0.1 15.9602582966264 29.9719272141673 0.0157029106724746 0.0314058213449492
"23" 400 16 1.53 20 10000 0.5 0.1 22.3469618414484 38.4750864389369 0.00800982479433267 0.0160196495886653
"24" 600 16 1.53 20 10000 0.5 0.1 28.5341308893759 46.1376347885223 0.00491281819915818 0.00982563639831636
"25" 200 16 1.53 20 10000 0.55 0.1 13.8038057025563 23.6930185905847 0.0209924107745742 0.038168019590135
"26" 400 16 1.53 20 10000 0.55 0.1 21.0140806661068 36.7718062835169 0.0090581435983501 0.0164693519970002
"27" 600 16 1.53 20 10000 0.55 0.1 27.9960609842123 43.9901804201468 0.00510347662068134 0.00927904840123881
"28" 200 16 1.53 20 10000 0.6 0.1 10.6038876356956 19.3883784975414 0.035573758888154 0.0592895981469234
"29" 400 16 1.53 20 10000 0.6 0.1 16.7424696770787 29.2609005525262 0.0142699006423551 0.0237831677372585
"30" 600 16 1.53 20 10000 0.6 0.1 22.4089940496886 39.9332220824903 0.00796554084219985 0.0132759014036664
"31" 200 16 1.53 20 10000 0.65 0.1 3.17437659712512 10.159460430152 0.396956661084598 0.610702555514766
"32" 400 16 1.53 20 10000 0.65 0.1 8.42749323307022 14.7852910335218 0.056320067466727 0.0866462576411185
"33" 600 16 1.53 20 10000 0.65 0.1 13.0935408919943 24.5471130190362 0.023331667226126 0.0358948726555785
"34" 200 16 1.53 20 10000 0.7 0.1 2.11186691160498 9.27472742714778 0.896864635874822 1.28123519410689
"35" 400 16 1.53 20 10000 0.7 0.1 1.83451368687841 10.5605182321967 1.18855170335447 1.6979310047921
"36" 600 16 1.53 20 10000 0.7 0.1 1.57869123548102 12.8991447969979 1.60496510915782 2.29280729879689
"37" 200 16 1.53 20 10000 0.75 0.1 1.49801212099706 8.12764906123729 1.78249917074977 2.3766655609997
"38" 400 16 1.53 20 10000 0.75 0.1 1.74366379675375 10.2055154777713 1.31563218807755 1.75417625077007
"39" 600 16 1.53 20 10000 0.75 0.1 1.28639526415259 9.32362396336485 2.41719187747206 3.22292250329608
"40" 200 16 1.53 20 10000 0.8 0.1 1.88753324266524 6.61119563535136 1.12271822678865 1.40339778348581
"41" 400 16 1.53 20 10000 0.8 0.1 1.60647601948069 9.94595805764568 1.54992790440291 1.93740988050363
"42" 600 16 1.53 20 10000 0.8 0.1 1.61346426873879 10.5019132509709 1.53653085995764 1.92066357494705
"244" 100 32 1.53 20 10000 0.65 0.1 2.41105226288696 7.70479876935304 0.688092370571205 1.05860364703262
"245" 200 32 1.53 20 10000 0.65 0.1 3.61752921839819 8.50793200569763 0.305658090885121 0.47024321674634
"246" 300 32 1.53 20 10000 0.65 0.1 6.05814977680966 11.6267302794958 0.108988325162701 0.167674346404155
"247" 400 32 1.53 20 10000 0.65 0.1 8.72512514727681 15.7855345239346 0.0525432172707858 0.0808357188781321
"248" 500 32 1.53 20 10000 0.65 0.1 9.94612099248363 19.2246125484331 0.0404345407919792 0.0622069858338141
"249" 600 32 1.53 20 10000 0.65 0.1 11.1050794692328 19.8343391993188 0.0324352051994359 0.0499003156914399
"250" 700 32 1.53 20 10000 0.65 0.1 12.9708937418697 22.8749250167414 0.0237749815262163 0.0365768946557175
"251" 800 32 1.53 20 10000 0.65 0.1 14.0523781434636 26.477424171001 0.0202563100299222 0.0311635538921879
"252" 900 32 1.53 20 10000 0.65 0.1 15.0172486126585 26.4080711441498 0.0177369625914207 0.0272876347560318
"253" 1000 32 1.53 20 10000 0.65 0.1 16.5101838637555 28.0795417384608 0.0146742587203547 0.0225757826466995
"254" 100 32 1.53 20 10000 0.7 0.1 1.08953604506306 9.81315885464656 3.36958787070557 4.81369695815082
"255" 200 32 1.53 20 10000 0.7 0.1 1.10758225528164 10.5474982235445 3.26067874759966 4.65811249657095
"256" 300 32 1.53 20 10000 0.7 0.1 1.26068470591269 9.00205207259278 2.51679025065225 3.59541464378893
"257" 400 32 1.53 20 10000 0.7 0.1 1.12435702736288 9.17198152768605 3.16410956849663 4.52015652642376
"258" 500 32 1.53 20 10000 0.7 0.1 1.25835367813759 7.83531477896092 2.52612330534087 3.60874757905839
"259" 600 32 1.53 20 10000 0.7 0.1 1.4593372280474 8.17173994441787 1.8782295465938 2.68318506656258
